Call My Agent! The Movie	Netflix	2026-08-22	2/1/1	Advanced	No	No
MIRKWOOD S2	Netflix	2026-08-29	3/3/3	Advanced	Yes	No
Blue Box Season 2 (Eps 1-2)	Netflix	2026-08-31	1/1/1	Advanced	No	No
Fight for '84	Netflix	2026-09-05	2/1/2	Advanced	No	No
Animals	Netflix	2026-09-08	2/1/2	Advanced	No	No
Campioni	Netflix	2026-09-11	3/1/2	Advanced	No	No
Project A (Valorant)	Liquid Violet	2026-09-25	1/0/0	Advanced	No	Yes
Blue Box Season 2 (Eps 3-4)	Netflix	2026-09-28	1/1/1	Advanced	No	No
Ray Gunn	Netflix	2026-10-03	2/2/2	Advanced	No	No
Heartland	Netflix	2026-10-10	2/2/2	Advanced	No	No
Quasimodo	Netflix	2026-10-12	2/2/2	Advanced	Yes	No
Grown Ups	Netflix	2026-10-14	3/3/3	Advanced	No	No
Blue Box Season 2 (Eps 5-6)	Netflix	2026-10-19	1/1/1	Advanced	No	No
The Good Lawyer	Netflix	2026-10-20	2/2/2	Developing	No	No
Fool Night	Netflix	2026-10-30	4/3/3	Advanced	No	No
Blue Box Season 2 (Eps 7-8)	Netflix	2026-11-02	1/1/1	Advanced	No	No
Steps	Netflix	2026-11-07	3/2/2	Advanced	No	No
Blue Box Season 2 (Eps 9-10)	Netflix	2026-11-16	1/1/1	Advanced	No	No
Blue Box Season 2 (Eps 11-12)	Netflix	2026-11-30	1/1/1	Advanced	No	No
Ordinary Time (Narnia)	Netflix	2026-12-10	2/1/1	Advanced	No	No
Mercenary: An Extraction Series S1	Netflix	2027-01-12	3/2/3	Advanced	No	No
Project Nero 3 (Eps 1-4)	Netflix	2027-04-10	3/3/3	Advanced	No	No
Project Nero 3 (Eps 5-8)	Netflix	2027-06-22	3/3/3	Advanced	No	No
Saturn Return	Netflix	2027-07-30	2/2/2	Advanced	No	No
